episode,timestep,reward
41,800,19.2927
79,1600,20.9474
103,2400,33.2917
134,3200,25.9677
155,4000,37.4762
178,4800,34.7391
194,5600,45.375
204,6400,82.5
211,7200,113.4286
220,8000,93.1111
225,8800,155.8
232,9600,118.5714
239,10400,118.0
243,11200,169.75
247,12000,169.25
250,12800,286.6667
254,13600,232.5
256,14400,314.5
260,15200,203.5
263,16000,302.0
267,16800,224.5
271,17600,180.5
275,18400,181.5
278,19200,291.0
281,20000,258.0
284,20800,288.3333
286,21600,397.0
288,22400,342.0
291,23200,259.0
293,24000,400.0
295,24800,343.0
298,25600,348.3333
300,26400,290.0
302,27200,400.0
305,28000,341.6667
307,28800,312.5
310,29600,254.0
312,30400,386.5
315,31200,318.0
317,32000,400.0
319,32800,400.0
322,33600,313.6667
324,34400,323.5
327,35200,298.3333
329,36000,400.0
331,36800,400.0
333,37600,400.0
335,38400,400.0
337,39200,400.0
339,40000,400.0
341,40800,400.0
343,41600,400.0
345,42400,400.0
347,43200,400.0
349,44000,400.0
351,44800,400.0
353,45600,400.0
355,46400,400.0
357,47200,400.0
359,48000,400.0
361,48800,400.0
363,49600,400.0
365,50400,400.0
367,51200,400.0
369,52000,400.0
371,52800,400.0
373,53600,400.0
375,54400,400.0
377,55200,400.0
379,56000,400.0
381,56800,400.0
383,57600,400.0
385,58400,400.0
387,59200,400.0
389,60000,400.0
391,60800,400.0
393,61600,400.0
395,62400,400.0
397,63200,400.0
399,64000,400.0
401,64800,400.0
403,65600,400.0
405,66400,400.0
407,67200,400.0
409,68000,400.0
411,68800,400.0
413,69600,400.0
415,70400,400.0
417,71200,400.0
419,72000,400.0
421,72800,400.0
423,73600,400.0
425,74400,400.0
427,75200,400.0
429,76000,400.0
431,76800,400.0
433,77600,400.0
435,78400,400.0
437,79200,400.0
439,80000,400.0
441,80800,400.0
443,81600,400.0
445,82400,400.0
447,83200,400.0
449,84000,400.0
451,84800,400.0
453,85600,400.0
455,86400,400.0
457,87200,400.0
459,88000,400.0
461,88800,400.0
463,89600,400.0
465,90400,400.0
467,91200,400.0
469,92000,400.0
471,92800,400.0
473,93600,400.0
475,94400,400.0
477,95200,400.0
479,96000,400.0
481,96800,400.0
483,97600,400.0
485,98400,400.0
487,99200,400.0
489,100000,400.0
491,100800,400.0
493,101600,400.0
495,102400,400.0
497,103200,400.0
499,104000,400.0
501,104800,400.0
503,105600,400.0
505,106400,400.0
507,107200,400.0
509,108000,400.0
511,108800,400.0
513,109600,400.0
515,110400,400.0
517,111200,400.0
519,112000,400.0
521,112800,400.0
523,113600,400.0
525,114400,400.0
527,115200,400.0
529,116000,400.0
531,116800,400.0
533,117600,400.0
535,118400,400.0
537,119200,400.0
539,120000,400.0
541,120800,400.0
543,121600,400.0
545,122400,400.0
547,123200,400.0
549,124000,400.0
551,124800,400.0
553,125600,400.0
555,126400,400.0
557,127200,400.0
559,128000,400.0
561,128800,400.0
563,129600,400.0
565,130400,400.0
567,131200,400.0
569,132000,400.0
571,132800,400.0
573,133600,400.0
575,134400,400.0
577,135200,400.0
579,136000,400.0
581,136800,400.0
583,137600,400.0
585,138400,400.0
587,139200,400.0
589,140000,400.0
591,140800,400.0
593,141600,400.0
595,142400,400.0
597,143200,400.0
599,144000,400.0
601,144800,400.0
603,145600,400.0
605,146400,400.0
607,147200,400.0
609,148000,400.0
611,148800,400.0
613,149600,400.0
615,150400,400.0
617,151200,400.0
619,152000,400.0
621,152800,400.0
623,153600,400.0
625,154400,400.0
627,155200,400.0
629,156000,400.0
631,156800,400.0
633,157600,400.0
635,158400,400.0
637,159200,400.0
639,160000,400.0
641,160800,400.0
643,161600,400.0
645,162400,400.0
647,163200,400.0
649,164000,400.0
651,164800,400.0
653,165600,400.0
655,166400,400.0
657,167200,400.0
659,168000,400.0
661,168800,400.0
663,169600,400.0
665,170400,400.0
667,171200,400.0
669,172000,400.0
671,172800,400.0
673,173600,400.0
675,174400,400.0
677,175200,400.0
679,176000,400.0
681,176800,400.0
683,177600,400.0
685,178400,400.0
687,179200,400.0
689,180000,400.0
691,180800,400.0
693,181600,400.0
695,182400,400.0
697,183200,400.0
699,184000,400.0
701,184800,400.0
703,185600,400.0
705,186400,400.0
707,187200,400.0
709,188000,400.0
711,188800,400.0
713,189600,400.0
715,190400,400.0
717,191200,400.0
719,192000,400.0
721,192800,400.0
723,193600,400.0
725,194400,400.0
727,195200,400.0
729,196000,400.0
731,196800,400.0
733,197600,400.0
735,198400,400.0
737,199200,400.0
739,200000,400.0
