episode,timestep,reward
33,800,23.8182
63,1600,26.3333
88,2400,32.8
113,3200,29.44
129,4000,52.3125
144,4800,54.8
160,5600,40.875
175,6400,58.2
186,7200,71.0
195,8000,95.6667
200,8800,144.8
207,9600,121.5714
213,10400,143.0
218,11200,142.0
221,12000,250.0
224,12800,219.3333
227,13600,322.6667
231,14400,205.25
235,15200,211.25
239,16000,201.75
241,16800,283.0
244,17600,279.3333
248,18400,260.25
250,19200,400.0
252,20000,377.5
254,20800,329.0
256,21600,400.0
258,22400,400.0
260,23200,400.0
262,24000,400.0
264,24800,400.0
266,25600,400.0
268,26400,400.0
270,27200,400.0
272,28000,400.0
274,28800,379.5
276,29600,400.0
279,30400,314.6667
281,31200,400.0
283,32000,400.0
285,32800,400.0
287,33600,400.0
289,34400,400.0
293,35200,220.75
295,36000,326.5
297,36800,400.0
299,37600,400.0
301,38400,400.0
305,39200,209.0
308,40000,274.0
311,40800,275.3333
313,41600,346.5
315,42400,291.0
318,43200,351.6667
320,44000,400.0
322,44800,400.0
324,45600,400.0
326,46400,400.0
328,47200,390.0
331,48000,282.6667
333,48800,310.0
335,49600,400.0
337,50400,371.5
339,51200,400.0
341,52000,399.0
343,52800,400.0
345,53600,400.0
347,54400,400.0
349,55200,400.0
352,56000,380.3333
354,56800,400.0
356,57600,400.0
358,58400,400.0
360,59200,400.0
362,60000,400.0
364,60800,400.0
366,61600,400.0
368,62400,400.0
370,63200,400.0
372,64000,400.0
374,64800,400.0
376,65600,400.0
378,66400,400.0
380,67200,400.0
382,68000,400.0
384,68800,400.0
386,69600,400.0
388,70400,400.0
390,71200,400.0
392,72000,400.0
394,72800,400.0
396,73600,400.0
398,74400,400.0
400,75200,400.0
402,76000,400.0
404,76800,400.0
406,77600,400.0
408,78400,400.0
410,79200,400.0
412,80000,400.0
414,80800,400.0
416,81600,400.0
418,82400,400.0
420,83200,400.0
422,84000,400.0
424,84800,400.0
426,85600,400.0
428,86400,400.0
430,87200,400.0
432,88000,400.0
434,88800,400.0
436,89600,400.0
438,90400,400.0
440,91200,400.0
442,92000,400.0
444,92800,400.0
446,93600,400.0
448,94400,400.0
450,95200,400.0
452,96000,400.0
454,96800,400.0
456,97600,400.0
458,98400,400.0
460,99200,400.0
462,100000,400.0
464,100800,400.0
466,101600,400.0
468,102400,400.0
470,103200,400.0
472,104000,400.0
474,104800,400.0
476,105600,400.0
478,106400,400.0
480,107200,400.0
482,108000,400.0
484,108800,400.0
486,109600,400.0
488,110400,400.0
490,111200,400.0
492,112000,400.0
494,112800,400.0
496,113600,400.0
498,114400,400.0
500,115200,400.0
502,116000,400.0
504,116800,400.0
506,117600,400.0
508,118400,400.0
510,119200,400.0
512,120000,400.0
514,120800,400.0
516,121600,400.0
518,122400,400.0
520,123200,400.0
522,124000,400.0
524,124800,400.0
526,125600,400.0
528,126400,400.0
530,127200,400.0
532,128000,400.0
534,128800,400.0
536,129600,400.0
538,130400,400.0
540,131200,400.0
542,132000,400.0
544,132800,400.0
546,133600,400.0
548,134400,400.0
550,135200,400.0
552,136000,400.0
554,136800,400.0
556,137600,400.0
558,138400,400.0
560,139200,400.0
562,140000,400.0
564,140800,400.0
566,141600,400.0
568,142400,400.0
570,143200,400.0
572,144000,400.0
574,144800,400.0
576,145600,400.0
578,146400,400.0
580,147200,400.0
582,148000,400.0
584,148800,400.0
586,149600,400.0
588,150400,400.0
590,151200,400.0
592,152000,400.0
594,152800,400.0
596,153600,400.0
598,154400,400.0
600,155200,400.0
602,156000,400.0
604,156800,400.0
606,157600,400.0
608,158400,400.0
610,159200,400.0
612,160000,400.0
614,160800,400.0
616,161600,400.0
618,162400,400.0
620,163200,400.0
622,164000,400.0
624,164800,400.0
626,165600,400.0
628,166400,400.0
630,167200,400.0
632,168000,400.0
634,168800,400.0
636,169600,400.0
638,170400,400.0
640,171200,400.0
642,172000,400.0
644,172800,400.0
646,173600,400.0
648,174400,400.0
650,175200,400.0
652,176000,400.0
654,176800,400.0
656,177600,400.0
658,178400,400.0
660,179200,400.0
662,180000,400.0
664,180800,400.0
666,181600,400.0
668,182400,400.0
670,183200,400.0
672,184000,400.0
674,184800,400.0
676,185600,400.0
678,186400,400.0
680,187200,400.0
682,188000,400.0
684,188800,400.0
686,189600,400.0
688,190400,400.0
690,191200,400.0
692,192000,400.0
694,192800,400.0
696,193600,400.0
698,194400,400.0
700,195200,400.0
702,196000,400.0
704,196800,400.0
706,197600,400.0
708,198400,400.0
710,199200,400.0
712,200000,400.0
