episode,timestep,reward
30,800,26.2667
61,1600,24.7419
86,2400,33.12
115,3200,27.4138
132,4000,47.6471
151,4800,39.5789
167,5600,52.625
181,6400,53.7857
193,7200,71.0833
202,8000,88.0
210,8800,99.75
216,9600,93.8333
221,10400,171.8
225,11200,242.5
231,12000,128.8333
234,12800,272.3333
238,13600,181.75
240,14400,400.0
243,15200,263.0
245,16000,273.0
249,16800,262.25
253,17600,230.75
257,18400,192.5
259,19200,329.5
261,20000,344.0
264,20800,317.6667
267,21600,230.0
271,22400,255.0
274,23200,241.0
276,24000,359.0
278,24800,317.0
281,25600,313.3333
283,26400,400.0
285,27200,400.0
287,28000,400.0
289,28800,400.0
291,29600,400.0
293,30400,400.0
295,31200,400.0
297,32000,400.0
299,32800,400.0
301,33600,400.0
303,34400,346.5
305,35200,400.0
307,36000,400.0
309,36800,400.0
311,37600,400.0
313,38400,400.0
315,39200,400.0
317,40000,400.0
319,40800,400.0
321,41600,400.0
323,42400,400.0
325,43200,400.0
327,44000,400.0
329,44800,400.0
331,45600,400.0
334,46400,352.6667
336,47200,400.0
338,48000,400.0
340,48800,400.0
342,49600,400.0
344,50400,400.0
346,51200,400.0
348,52000,400.0
350,52800,400.0
352,53600,400.0
354,54400,400.0
356,55200,400.0
358,56000,400.0
360,56800,400.0
362,57600,400.0
364,58400,400.0
366,59200,400.0
368,60000,400.0
370,60800,400.0
372,61600,400.0
374,62400,400.0
376,63200,400.0
378,64000,400.0
380,64800,400.0
382,65600,400.0
384,66400,400.0
386,67200,400.0
388,68000,400.0
390,68800,400.0
392,69600,400.0
394,70400,400.0
396,71200,400.0
398,72000,400.0
400,72800,400.0
402,73600,400.0
404,74400,400.0
406,75200,400.0
408,76000,400.0
410,76800,400.0
412,77600,400.0
414,78400,400.0
416,79200,400.0
418,80000,400.0
420,80800,400.0
422,81600,400.0
424,82400,400.0
426,83200,400.0
428,84000,400.0
430,84800,400.0
432,85600,400.0
434,86400,400.0
436,87200,400.0
438,88000,400.0
440,88800,400.0
442,89600,400.0
444,90400,400.0
446,91200,400.0
448,92000,400.0
450,92800,400.0
452,93600,400.0
454,94400,400.0
456,95200,400.0
458,96000,400.0
460,96800,400.0
462,97600,400.0
464,98400,400.0
466,99200,400.0
468,100000,400.0
470,100800,400.0
472,101600,400.0
474,102400,400.0
476,103200,400.0
478,104000,400.0
480,104800,400.0
482,105600,400.0
484,106400,400.0
486,107200,400.0
488,108000,400.0
490,108800,400.0
492,109600,400.0
494,110400,400.0
496,111200,400.0
498,112000,400.0
500,112800,400.0
502,113600,400.0
504,114400,400.0
506,115200,400.0
508,116000,400.0
510,116800,400.0
512,117600,400.0
514,118400,400.0
516,119200,400.0
518,120000,400.0
520,120800,400.0
522,121600,400.0
524,122400,400.0
526,123200,400.0
528,124000,400.0
530,124800,400.0
532,125600,400.0
534,126400,400.0
536,127200,400.0
538,128000,400.0
540,128800,400.0
542,129600,400.0
544,130400,400.0
546,131200,400.0
548,132000,400.0
550,132800,400.0
552,133600,400.0
554,134400,400.0
556,135200,400.0
558,136000,400.0
560,136800,400.0
562,137600,400.0
564,138400,400.0
566,139200,400.0
568,140000,400.0
570,140800,400.0
572,141600,400.0
574,142400,400.0
576,143200,400.0
578,144000,400.0
580,144800,400.0
582,145600,400.0
584,146400,400.0
586,147200,400.0
588,148000,400.0
590,148800,400.0
592,149600,400.0
594,150400,400.0
596,151200,400.0
598,152000,400.0
600,152800,400.0
602,153600,400.0
604,154400,400.0
606,155200,400.0
608,156000,400.0
610,156800,400.0
612,157600,400.0
614,158400,400.0
616,159200,400.0
618,160000,400.0
620,160800,400.0
622,161600,400.0
624,162400,400.0
626,163200,400.0
628,164000,400.0
630,164800,400.0
632,165600,400.0
634,166400,400.0
636,167200,400.0
638,168000,400.0
640,168800,400.0
642,169600,400.0
644,170400,400.0
646,171200,400.0
648,172000,400.0
650,172800,400.0
652,173600,400.0
654,174400,400.0
656,175200,400.0
658,176000,400.0
660,176800,400.0
662,177600,400.0
664,178400,400.0
666,179200,400.0
668,180000,400.0
670,180800,400.0
672,181600,400.0
674,182400,400.0
676,183200,400.0
678,184000,400.0
680,184800,400.0
682,185600,400.0
684,186400,400.0
686,187200,400.0
688,188000,400.0
690,188800,400.0
692,189600,400.0
694,190400,400.0
696,191200,400.0
698,192000,400.0
700,192800,400.0
702,193600,400.0
704,194400,400.0
706,195200,400.0
708,196000,400.0
710,196800,400.0
712,197600,400.0
714,198400,400.0
716,199200,400.0
718,200000,400.0
