episode,timestep,reward
30,800,26.2667
61,1600,24.7419
80,2400,43.9474
98,3200,43.8333
109,4000,68.2727
118,4800,89.6667
122,5600,212.5
126,6400,174.0
131,7200,171.4
134,8000,240.3333
137,8800,197.3333
141,9600,279.75
144,10400,225.6667
147,11200,215.0
150,12000,283.0
154,12800,258.5
156,13600,289.5
159,14400,293.0
162,15200,261.0
165,16000,270.0
168,16800,259.3333
172,17600,231.75
175,18400,277.3333
178,19200,269.3333
180,20000,331.0
182,20800,334.5
185,21600,334.3333
187,22400,314.0
190,23200,350.3333
192,24000,312.0
194,24800,347.0
197,25600,319.3333
199,26400,344.0
202,27200,343.0
204,28000,351.5
207,28800,305.0
209,29600,375.5
211,30400,353.0
213,31200,400.0
215,32000,289.0
218,32800,313.3333
221,33600,321.6667
223,34400,395.0
225,35200,366.0
227,36000,309.0
230,36800,359.6667
233,37600,272.6667
235,38400,266.5
238,39200,324.3333
241,40000,291.6667
243,40800,312.0
246,41600,298.3333
248,42400,335.5
251,43200,308.3333
253,44000,358.0
255,44800,400.0
257,45600,372.0
260,46400,348.3333
262,47200,400.0
264,48000,360.5
266,48800,400.0
268,49600,400.0
270,50400,350.5
272,51200,400.0
274,52000,400.0
276,52800,393.5
278,53600,396.0
280,54400,373.5
282,55200,400.0
284,56000,389.0
286,56800,400.0
288,57600,374.0
290,58400,400.0
292,59200,400.0
294,60000,400.0
296,60800,400.0
298,61600,400.0
300,62400,400.0
302,63200,400.0
304,64000,400.0
306,64800,381.5
308,65600,400.0
310,66400,400.0
312,67200,400.0
314,68000,396.0
317,68800,371.3333
319,69600,400.0
321,70400,400.0
323,71200,400.0
325,72000,400.0
327,72800,400.0
329,73600,400.0
331,74400,400.0
333,75200,361.0
335,76000,400.0
337,76800,392.5
339,77600,400.0
341,78400,400.0
343,79200,400.0
345,80000,400.0
347,80800,400.0
349,81600,400.0
351,82400,400.0
353,83200,375.0
355,84000,388.0
357,84800,345.5
360,85600,323.0
362,86400,400.0
364,87200,355.5
367,88000,339.6667
369,88800,334.5
372,89600,313.0
374,90400,329.0
377,91200,293.0
380,92000,299.3333
384,92800,201.0
386,93600,284.0
389,94400,273.0
392,95200,273.0
395,96000,278.6667
397,96800,325.5
400,97600,308.0
402,98400,368.5
404,99200,365.0
406,100000,366.0
409,100800,388.6667
411,101600,344.5
413,102400,400.0
415,103200,359.0
417,104000,400.0
419,104800,400.0
421,105600,400.0
423,106400,395.5
425,107200,400.0
427,108000,375.0
429,108800,400.0
431,109600,344.0
433,110400,400.0
435,111200,400.0
437,112000,400.0
439,112800,400.0
441,113600,400.0
444,114400,377.6667
446,115200,392.5
448,116000,383.0
450,116800,343.5
452,117600,400.0
454,118400,338.5
456,119200,400.0
458,120000,400.0
460,120800,377.0
462,121600,400.0
465,122400,395.0
467,123200,379.0
469,124000,352.0
471,124800,353.0
474,125600,338.3333
476,126400,352.0
478,127200,400.0
480,128000,400.0
482,128800,400.0
484,129600,400.0
486,130400,400.0
488,131200,400.0
490,132000,400.0
492,132800,400.0
494,133600,400.0
496,134400,400.0
498,135200,400.0
500,136000,400.0
502,136800,400.0
504,137600,400.0
506,138400,400.0
508,139200,400.0
510,140000,400.0
512,140800,378.0
514,141600,400.0
516,142400,400.0
518,143200,400.0
520,144000,400.0
522,144800,400.0
524,145600,400.0
526,146400,400.0
528,147200,348.5
530,148000,340.5
533,148800,373.0
535,149600,400.0
537,150400,400.0
539,151200,400.0
541,152000,400.0
543,152800,400.0
545,153600,400.0
547,154400,400.0
549,155200,400.0
551,156000,400.0
553,156800,400.0
555,157600,400.0
557,158400,400.0
559,159200,400.0
561,160000,400.0
563,160800,315.0
566,161600,315.6667
568,162400,381.5
570,163200,400.0
572,164000,400.0
574,164800,400.0
576,165600,400.0
579,166400,273.6667
581,167200,372.0
583,168000,330.0
586,168800,334.0
588,169600,400.0
590,170400,400.0
592,171200,377.5
594,172000,400.0
596,172800,400.0
598,173600,400.0
600,174400,400.0
602,175200,366.5
604,176000,400.0
606,176800,321.0
608,177600,400.0
610,178400,400.0
612,179200,400.0
614,180000,400.0
616,180800,400.0
618,181600,400.0
621,182400,343.3333
623,183200,377.5
625,184000,400.0
627,184800,400.0
629,185600,400.0
631,186400,389.0
633,187200,400.0
635,188000,400.0
637,188800,400.0
639,189600,400.0
641,190400,400.0
643,191200,400.0
645,192000,400.0
647,192800,400.0
649,193600,400.0
651,194400,400.0
653,195200,400.0
655,196000,400.0
657,196800,400.0
659,197600,400.0
661,198400,400.0
663,199200,400.0
665,200000,400.0
