episode,timestep,reward
41,800,19.2927
79,1600,20.9474
103,2400,33.25
132,3200,28.069
142,4000,77.6
153,4800,72.9091
159,5600,108.0
166,6400,129.7143
170,7200,185.75
174,8000,197.0
179,8800,182.6
183,9600,177.5
188,10400,169.6
192,11200,183.0
197,12000,177.8
201,12800,197.25
205,13600,197.5
209,14400,192.0
212,15200,224.0
217,16000,201.6
221,16800,192.25
225,17600,205.0
228,18400,229.0
232,19200,215.25
235,20000,224.6667
239,20800,238.25
243,21600,210.75
246,22400,225.0
250,23200,233.25
253,24000,238.0
256,24800,240.0
260,25600,222.5
262,26400,308.0
265,27200,303.6667
268,28000,282.3333
271,28800,295.6667
273,29600,351.5
275,30400,356.5
277,31200,398.5
279,32000,382.0
281,32800,384.5
284,33600,350.0
286,34400,400.0
288,35200,337.0
290,36000,400.0
292,36800,339.5
294,37600,400.0
296,38400,344.0
298,39200,400.0
300,40000,400.0
302,40800,400.0
304,41600,400.0
306,42400,400.0
308,43200,400.0
310,44000,400.0
312,44800,400.0
314,45600,400.0
316,46400,400.0
318,47200,400.0
320,48000,400.0
323,48800,380.3333
325,49600,400.0
327,50400,400.0
329,51200,400.0
331,52000,400.0
333,52800,400.0
335,53600,400.0
337,54400,400.0
339,55200,400.0
341,56000,400.0
343,56800,400.0
345,57600,394.5
348,58400,271.6667
351,59200,268.6667
353,60000,400.0
355,60800,400.0
357,61600,400.0
359,62400,400.0
361,63200,400.0
363,64000,400.0
365,64800,400.0
367,65600,400.0
369,66400,400.0
371,67200,400.0
373,68000,400.0
375,68800,400.0
377,69600,400.0
379,70400,400.0
381,71200,400.0
383,72000,400.0
385,72800,400.0
387,73600,400.0
389,74400,400.0
391,75200,355.5
393,76000,400.0
395,76800,400.0
397,77600,400.0
399,78400,342.5
401,79200,400.0
403,80000,400.0
405,80800,400.0
407,81600,400.0
409,82400,320.5
411,83200,400.0
413,84000,400.0
415,84800,400.0
417,85600,400.0
419,86400,400.0
421,87200,400.0
424,88000,290.6667
427,88800,361.3333
429,89600,400.0
431,90400,400.0
433,91200,400.0
435,92000,400.0
437,92800,400.0
439,93600,400.0
441,94400,400.0
443,95200,400.0
445,96000,400.0
447,96800,400.0
449,97600,400.0
451,98400,400.0
453,99200,400.0
455,100000,341.0
457,100800,400.0
459,101600,400.0
461,102400,399.0
463,103200,400.0
465,104000,400.0
467,104800,400.0
469,105600,400.0
471,106400,400.0
473,107200,400.0
475,108000,400.0
477,108800,400.0
479,109600,400.0
481,110400,400.0
483,111200,400.0
485,112000,400.0
487,112800,400.0
489,113600,400.0
491,114400,400.0
493,115200,400.0
495,116000,400.0
497,116800,400.0
499,117600,400.0
501,118400,400.0
503,119200,400.0
505,120000,400.0
507,120800,400.0
509,121600,400.0
511,122400,314.5
514,123200,351.3333
516,124000,400.0
518,124800,400.0
520,125600,400.0
522,126400,400.0
524,127200,400.0
526,128000,400.0
528,128800,400.0
530,129600,400.0
532,130400,400.0
534,131200,400.0
536,132000,400.0
538,132800,400.0
540,133600,400.0
542,134400,382.0
544,135200,400.0
546,136000,400.0
548,136800,400.0
550,137600,400.0
552,138400,400.0
554,139200,400.0
556,140000,400.0
558,140800,400.0
560,141600,400.0
562,142400,400.0
564,143200,400.0
566,144000,377.0
568,144800,400.0
570,145600,400.0
572,146400,400.0
574,147200,400.0
576,148000,400.0
578,148800,400.0
580,149600,400.0
582,150400,400.0
584,151200,400.0
586,152000,400.0
588,152800,400.0
590,153600,400.0
592,154400,400.0
594,155200,400.0
596,156000,400.0
598,156800,400.0
600,157600,400.0
602,158400,400.0
604,159200,400.0
606,160000,400.0
608,160800,400.0
610,161600,400.0
612,162400,400.0
614,163200,400.0
616,164000,400.0
618,164800,400.0
620,165600,400.0
622,166400,400.0
624,167200,400.0
626,168000,400.0
628,168800,400.0
630,169600,400.0
632,170400,400.0
634,171200,400.0
636,172000,400.0
638,172800,400.0
640,173600,400.0
642,174400,386.0
644,175200,400.0
646,176000,400.0
648,176800,400.0
650,177600,400.0
652,178400,400.0
654,179200,400.0
656,180000,400.0
658,180800,400.0
660,181600,400.0
662,182400,400.0
664,183200,400.0
666,184000,400.0
668,184800,400.0
670,185600,400.0
672,186400,331.5
674,187200,400.0
676,188000,400.0
678,188800,400.0
681,189600,353.3333
683,190400,322.0
685,191200,400.0
687,192000,400.0
689,192800,400.0
691,193600,400.0
693,194400,400.0
695,195200,400.0
697,196000,400.0
699,196800,400.0
701,197600,400.0
703,198400,354.5
705,199200,366.5
707,200000,400.0
