episode,timestep,reward
39,800,20.359
78,1600,20.3077
105,2400,29.1852
124,3200,42.2105
136,4000,68.0
145,4800,84.0
148,5600,228.0
154,6400,155.5
159,7200,144.8
165,8000,143.1667
170,8800,162.8
176,9600,137.8333
180,10400,183.5
184,11200,184.75
189,12000,180.6
193,12800,186.0
197,13600,203.25
201,14400,204.5
204,15200,228.6667
208,16000,217.5
211,16800,225.6667
215,17600,239.5
218,18400,254.0
221,19200,247.6667
224,20000,261.6667
227,20800,251.0
231,21600,245.75
234,22400,260.3333
236,23200,301.5
239,24000,286.6667
242,24800,278.6667
245,25600,295.0
247,26400,298.0
250,27200,299.0
253,28000,301.0
256,28800,293.6667
258,29600,304.0
261,30400,286.6667
264,31200,299.3333
266,32000,346.0
268,32800,338.5
271,33600,336.0
273,34400,350.5
275,35200,365.5
277,36000,364.0
279,36800,385.0
281,37600,386.5
283,38400,379.0
285,39200,400.0
288,40000,388.6667
290,40800,400.0
292,41600,400.0
294,42400,400.0
296,43200,400.0
298,44000,400.0
300,44800,400.0
302,45600,400.0
304,46400,400.0
306,47200,400.0
308,48000,400.0
310,48800,400.0
312,49600,400.0
314,50400,400.0
316,51200,400.0
318,52000,400.0
320,52800,400.0
322,53600,400.0
324,54400,400.0
326,55200,400.0
328,56000,400.0
330,56800,400.0
332,57600,370.5
334,58400,378.0
336,59200,400.0
338,60000,400.0
340,60800,400.0
342,61600,400.0
344,62400,400.0
346,63200,400.0
348,64000,400.0
350,64800,400.0
352,65600,400.0
354,66400,400.0
356,67200,400.0
358,68000,400.0
360,68800,400.0
362,69600,400.0
364,70400,400.0
366,71200,400.0
368,72000,400.0
370,72800,400.0
372,73600,400.0
374,74400,400.0
376,75200,400.0
378,76000,400.0
380,76800,400.0
382,77600,400.0
384,78400,400.0
386,79200,400.0
388,80000,400.0
390,80800,400.0
392,81600,400.0
394,82400,400.0
396,83200,400.0
398,84000,400.0
400,84800,400.0
402,85600,400.0
404,86400,400.0
406,87200,400.0
408,88000,400.0
410,88800,400.0
412,89600,400.0
414,90400,400.0
416,91200,400.0
418,92000,400.0
420,92800,400.0
422,93600,400.0
424,94400,400.0
426,95200,400.0
428,96000,400.0
430,96800,400.0
432,97600,400.0
434,98400,400.0
437,99200,291.3333
439,100000,400.0
441,100800,400.0
443,101600,400.0
445,102400,400.0
447,103200,400.0
449,104000,400.0
451,104800,400.0
453,105600,400.0
455,106400,399.0
457,107200,400.0
459,108000,400.0
461,108800,388.5
463,109600,342.0
465,110400,325.5
467,111200,400.0
469,112000,400.0
471,112800,400.0
473,113600,400.0
475,114400,400.0
477,115200,398.5
480,116000,374.6667
482,116800,400.0
484,117600,400.0
486,118400,400.0
488,119200,400.0
490,120000,400.0
492,120800,400.0
494,121600,400.0
496,122400,400.0
498,123200,400.0
500,124000,400.0
502,124800,391.0
504,125600,400.0
506,126400,400.0
508,127200,392.0
510,128000,386.0
513,128800,280.6667
515,129600,258.0
517,130400,386.5
520,131200,367.6667
522,132000,400.0
524,132800,400.0
526,133600,400.0
528,134400,400.0
530,135200,280.0
532,136000,400.0
534,136800,400.0
536,137600,400.0
538,138400,400.0
540,139200,400.0
542,140000,400.0
544,140800,400.0
546,141600,400.0
548,142400,400.0
550,143200,400.0
552,144000,400.0
554,144800,400.0
556,145600,400.0
558,146400,386.5
560,147200,399.0
562,148000,400.0
566,148800,279.0
568,149600,400.0
570,150400,400.0
572,151200,400.0
574,152000,400.0
576,152800,400.0
578,153600,400.0
580,154400,400.0
582,155200,284.0
584,156000,400.0
586,156800,400.0
588,157600,400.0
590,158400,400.0
592,159200,400.0
594,160000,400.0
596,160800,400.0
598,161600,400.0
600,162400,400.0
602,163200,400.0
604,164000,400.0
606,164800,400.0
608,165600,400.0
610,166400,400.0
612,167200,400.0
614,168000,400.0
616,168800,400.0
618,169600,400.0
620,170400,400.0
622,171200,400.0
624,172000,400.0
626,172800,400.0
628,173600,400.0
630,174400,400.0
632,175200,400.0
634,176000,400.0
636,176800,400.0
638,177600,400.0
640,178400,400.0
642,179200,400.0
644,180000,400.0
646,180800,390.5
648,181600,400.0
651,182400,345.0
653,183200,357.5
655,184000,400.0
657,184800,400.0
659,185600,400.0
661,186400,400.0
663,187200,400.0
665,188000,400.0
667,188800,400.0
669,189600,394.5
671,190400,400.0
673,191200,381.5
675,192000,400.0
677,192800,400.0
679,193600,400.0
681,194400,400.0
683,195200,400.0
685,196000,361.5
687,196800,373.0
689,197600,400.0
691,198400,400.0
693,199200,400.0
695,200000,400.0
